id,func_name,func_desc,func_type,start_date,active_ind,created_by,func_display_name
182,ACCNT_RG_EDIT,Edit Accounting Rule Groups,ACCOUNTING_RULEGROUP,2000-01-01,TRUE,0,Accounting RuleGroup Edit
183,ACCNT_RG_COPY,Copy Accounting Rule Groups,ACCOUNTING_RULEGROUP,2000-01-01,TRUE,0,Accounting RuleGroup Copy
184,ACCNT_RG_VIEW,View Accounting Rule Groups,ACCOUNTING_RULEGROUP,2000-01-01,TRUE,0,Accounting RuleGroup View
185,ACCNT_R_CREATE,Create Accounting Rule,ACCOUNTING_RULE,2000-01-01,TRUE,0,Accounting rule Create
186,ACCNT_R_EDIT,Edit Accounting Rule,ACCOUNTING_RULE,2000-01-01,TRUE,0,Accounting Rule Edit
187,ACCNT_R_COPY,Copy Accounting Rule,ACCOUNTING_RULE,2000-01-01,TRUE,0,Accounting Rule Copy
188,ACCNT_R_DELETE,Delete Accounting Rule,ACCOUNTING_RULE,2000-01-01,TRUE,0,Accounting Rule Delete
189,ACCNT_R_LIST,List  Accounting Rules,ACCOUNTING_RULE,2000-01-01,TRUE,0,Accounting Rule List
190,ACCNT_R_PRIORITY,Prioritize Accounting Rule,ACCOUNTING_RULE,2000-01-01,TRUE,0,Accounting Rule Priority
191,AWQ_VIEW,View Accounting Work Queue,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ View
192,AWQ_SCH,Schedule Accounting Work Queue,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Schedule
193,AWQ_RUN_RECON,Initiate Reconciliation From Accounting Work Queue,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Run Reconciliation
194,AWQ_RUN_ACCNT,Initiate Accounting From Accounting Work Queue,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Run Accounting
195,AWQ_EXPORT,Export From Accounting WorkQueue,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Export
196,AWQ_ADD_ROW,Add Row Feature,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Add Row
197,AWQ_SPLIT_ROW,Split Row Feture,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Split Row
198,AWQ_MANUAL_ACCNT,Manual Accounting From WorkQueue,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Manual Accounting
199,AWQ_REV_ACCNT,Reverse Accounting From WorkQueue,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Reverse Accounting
200,AWQ_UNDO_ACCNT,Undo Accounting From Workqueue,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Undo Accounting
201,AWQ_PREP_JE,Post to Journal Entries,ACCOUNTING_WORKQUEUE,2000-01-01,TRUE,0,AWQ Prepare Journal Entries
